"dataElement","period","orgUnit","categoryOptionCombo","attributeOptionCombo","value","storedBy","created","lastUpdated","followUp","comment"
"UOY2PKzbA81","2016Q1","oFne9nSZf6o","wGxoultJedR","wGxoultJedR","9","Gonleyen","2016-04-14T17:24:18.780+0000","2016-04-14T17:24:18.778+0000",FALSE,NA
"tlN5zuDnVpl","2016Q1","oFne9nSZf6o","wGxoultJedR","wGxoultJedR","8","Gonleyen","2016-04-14T17:24:59.454+0000","2016-04-14T17:24:59.451+0000",FALSE,NA
"wZX2UPMhT1y","2016Q1","oFne9nSZf6o","wGxoultJedR","wGxoultJedR","8","Gonleyen","2016-04-14T17:25:07.134+0000","2016-04-14T17:25:07.132+0000",FALSE,NA
"wZX2UPMhT1y","2016Q1","sCxJCncD492","wGxoultJedR","wGxoultJedR","8","Gonleyen","2016-04-14T17:29:51.283+0000","2016-04-14T17:29:51.281+0000",FALSE,NA
"OkdjDuBoeN2","2016Q1","XLHZvwRqH69","wGxoultJedR","wGxoultJedR","3","Gonleyen","2016-04-14T17:30:06.637+0000","2016-04-14T17:30:06.635+0000",FALSE,NA
"MZYkGxCV6RA","2016Q1","XLHZvwRqH69","wGxoultJedR","wGxoultJedR","true","Gonleyen","2016-04-14T17:30:08.912+0000","2016-04-14T17:30:08.910+0000",FALSE,NA
"wZX2UPMhT1y","2016Q1","N0HDYodt6vJ","wGxoultJedR","wGxoultJedR","7","Gonleyen","2016-04-14T17:04:53.855+0000","2016-04-14T17:04:53.853+0000",FALSE,NA
"OkdjDuBoeN2","2016Q1","L6K4xUpdT6c","wGxoultJedR","wGxoultJedR","3","Gonleyen","2016-04-14T17:15:44.212+0000","2016-04-14T17:15:44.210+0000",FALSE,NA
"tVr3DNBPDif","2016Q1","N0HDYodt6vJ","wGxoultJedR","wGxoultJedR","7","Gonleyen","2016-04-14T17:01:11.958+0000","2016-04-14T17:01:11.955+0000",FALSE,NA
"oXdtI8X8dlF","2016Q1","N0HDYodt6vJ","wGxoultJedR","wGxoultJedR","3","Gonleyen","2016-04-14T17:01:23.112+0000","2016-04-14T18:19:05.169+0000",FALSE,NA
"wZX2UPMhT1y","2016Q1","cLp813cBWTe","wGxoultJedR","wGxoultJedR","8","Gonleyen","2016-04-14T17:21:45.707+0000","2016-04-14T17:21:45.705+0000",FALSE,NA
"OkdjDuBoeN2","2016Q1","oFne9nSZf6o","wGxoultJedR","wGxoultJedR","3","Gonleyen","2016-04-14T17:22:57.573+0000","2016-04-14T17:22:57.571+0000",FALSE,NA
"MZYkGxCV6RA","2016Q1","oFne9nSZf6o","wGxoultJedR","wGxoultJedR","true","Gonleyen","2016-04-14T17:23:00.030+0000","2016-04-14T17:23:00.028+0000",FALSE,NA
"zzHaQVGkRPA","2016Q1","oFne9nSZf6o","wGxoultJedR","wGxoultJedR","true","Gonleyen","2016-04-14T17:23:00.645+0000","2016-04-14T17:23:00.643+0000",FALSE,NA
"OGhGWM5qXlg","2016Q1","oFne9nSZf6o","wGxoultJedR","wGxoultJedR","true","Gonleyen","2016-04-14T17:23:01.159+0000","2016-04-14T17:23:01.157+0000",FALSE,NA
"tVr3DNBPDif","2016Q1","oFne9nSZf6o","wGxoultJedR","wGxoultJedR","9","Gonleyen","2016-04-14T17:23:08.632+0000","2016-04-14T17:23:08.630+0000",FALSE,NA
"ZjX6dK8ZNm4","2016Q1","oFne9nSZf6o","wGxoultJedR","wGxoultJedR","1","Gonleyen","2016-04-14T17:24:49.703+0000","2016-04-14T17:24:49.701+0000",FALSE,NA
"wZX2UPMhT1y","2016Q1","Rt00cGFxjRw","wGxoultJedR","wGxoultJedR","13","Gonleyen","2016-04-14T18:10:37.561+0000","2016-04-14T18:10:37.559+0000",FALSE,NA
"lfhUkDW78Ir","2016Q1","N0HDYodt6vJ","wGxoultJedR","wGxoultJedR","false","Gonleyen","2016-04-14T17:12:55.504+0000","2016-04-14T17:13:58.222+0000",FALSE,"Stock out of Amoxycillin"
"tlN5zuDnVpl","2016Q1","L6K4xUpdT6c","wGxoultJedR","wGxoultJedR","6","Gonleyen","2016-04-14T17:18:18.944+0000","2016-04-14T17:18:18.942+0000",FALSE,NA
"OkdjDuBoeN2","2016Q1","djTh19pqo2S","wGxoultJedR","wGxoultJedR","3","Gonleyen","2016-04-14T17:27:45.022+0000","2016-04-14T17:27:45.020+0000",FALSE,NA
